Term,Category
basal,Cancer & Oncology
benign,Cancer & Oncology
biopsies,Cancer & Oncology
biopsy,Cancer & Oncology
breast,Cancer & Oncology
cancer,Cancer & Oncology
cancers,Cancer & Oncology
carcinoma,Cancer & Oncology
cervical,Cancer & Oncology
chemotherapy,Cancer & Oncology
colectomy,Cancer & Oncology
colon,Cancer & Oncology
colonoscopy,Cancer & Oncology
colorectal,Cancer & Oncology
ct,Cancer & Oncology
cytology,Cancer & Oncology
dermatologist,Cancer & Oncology
dermatoscopy,Cancer & Oncology
dermoscopy,Cancer & Oncology
diagnosis,Cancer & Oncology
diagnostic,Cancer & Oncology
excision,Cancer & Oncology
gastroenterologist,Cancer & Oncology
gynecologist,Cancer & Oncology
hematologist,Cancer & Oncology
hysterectomy,Cancer & Oncology
immunotherapy,Cancer & Oncology
lesion,Cancer & Oncology
lesions,Cancer & Oncology
leukemia,Cancer & Oncology
lumpectomy,Cancer & Oncology
lung,Cancer & Oncology
lymphoma,Cancer & Oncology
malignancy,Cancer & Oncology
malignant,Cancer & Oncology
mammogram,Cancer & Oncology
mammography,Cancer & Oncology
mastectomy,Cancer & Oncology
melanoma,Cancer & Oncology
metastasis,Cancer & Oncology
metastasize,Cancer & Oncology
metastatic,Cancer & Oncology
mri,Cancer & Oncology
neoplasm,Cancer & Oncology
nodule,Cancer & Oncology
nodules,Cancer & Oncology
oncologist,Cancer & Oncology
oncology,Cancer & Oncology
pap,Cancer & Oncology
pathologist,Cancer & Oncology
pathology,Cancer & Oncology
pet,Cancer & Oncology
polyp,Cancer & Oncology
polyps,Cancer & Oncology
precancerous,Cancer & Oncology
premalignant,Cancer & Oncology
prognosis,Cancer & Oncology
prostate,Cancer & Oncology
prostatectomy,Cancer & Oncology
pulmonologist,Cancer & Oncology
radiation,Cancer & Oncology
radiotherapy,Cancer & Oncology
rectal,Cancer & Oncology
resection,Cancer & Oncology
sarcoma,Cancer & Oncology
screening,Cancer & Oncology
skin,Cancer & Oncology
squamous,Cancer & Oncology
staging,Cancer & Oncology
surgery,Cancer & Oncology
surgical,Cancer & Oncology
tumor,Cancer & Oncology
tumors,Cancer & Oncology
tumour,Cancer & Oncology
tumours,Cancer & Oncology
ultrasound,Cancer & Oncology
urologist,Cancer & Oncology
x-ray,Cancer & Oncology
acetaminophen,General Medical
acute,General Medical
analgesic,General Medical
anemia,General Medical
antibiotic,General Medical
antibiotics,General Medical
antifungal,General Medical
antiviral,General Medical
aspirin,General Medical
asthma,General Medical
bacteria,General Medical
bacterial,General Medical
bronchitis,General Medical
cardiac,General Medical
cardiovascular,General Medical
catheter,General Medical
cdc,General Medical
cholesterol,General Medical
chronic,General Medical
clinical,General Medical
constipation,General Medical
diabetes,General Medical
diabetic,General Medical
